title,ingredients_clean,instructions_clean,label
Easy Mango Cucumber Salad,2 ½cupschopped ripe mango cut into small cubes23 large mangoes yield 2 ½ cups or 550 g 2cupscucumber cut into small cubeswe prefer english cucumber  1 large cucumber yields 2 cups or 250 g 1cupcherry tomatoes quartered 2tbspfinely minced shallot1 small shallot yields 2 tbsp or 20 g  or sub red onion 2tbspfinely chopped fresh cilantro or parsley 2tbsplime juice1 lime yields 2 tbsp or 30 ml 12tspmaple syrupoptional depending on how ripesweet your mango is 12tspsea salt,in a medium mixing or serving bowl combine the chopped mango chopped cucumber quartered cherry tomatoes minced shallot and chopped cilantro or parsley toss to combine then add the lime juice maple syrup optional and salt and toss until evenly coated taste and adjust adding more lime juice for brightness maple syrup for sweetness or salt for overall balance enjoy this salad is delicious with smoky or spicy mains like ourjerk tofu  roasted plantain bowlssmoky lentil tacosblack bean plantain enchilada bake orspicy baked fish tacos leftovers keep for 23 days in the refrigerator not freezer friendly,entrée
Easy Mango Cucumber Salad,2 ½cupschopped ripe mango cut into small cubes23 large mangoes yield 2 ½ cups or 550 g 2cupscucumber cut into small cubeswe prefer english cucumber  1 large cucumber yields 2 cups or 250 g 1cupcherry tomatoes quartered 2tbspfinely minced shallot1 small shallot yields 2 tbsp or 20 g  or sub red onion 2tbspfinely chopped fresh cilantro or parsley 2tbsplime juice1 lime yields 2 tbsp or 30 ml 12tspmaple syrupoptional depending on how ripesweet your mango is 12tspsea salt,in a medium mixing or serving bowl combine the chopped mango chopped cucumber quartered cherry tomatoes minced shallot and chopped cilantro or parsley toss to combine then add the lime juice maple syrup optional and salt and toss until evenly coated taste and adjust adding more lime juice for brightness maple syrup for sweetness or salt for overall balance enjoy this salad is delicious with smoky or spicy mains like ourjerk tofu  roasted plantain bowlssmoky lentil tacosblack bean plantain enchilada bake orspicy baked fish tacos leftovers keep for 23 days in the refrigerator not freezer friendly,entrée
No-Bake Vegan Chocolate Cheesecake Cups (5 Minutes!),1heaping cuporeostyle cookiesensure veganglutenfree as needed homemadeorstorebought include the cream filling 1 ½cupsraw cashews 341cupplain unsweetened coconut yogurtor storebought  we like culina cocojune and coyo 13cupmaple syrup 23tsplemon juicefreshly squeezed 18heaped tspsea salt 12cupdark chocolate chips meltedensure vegandairyfree as needed  we likeenjoy life or use bittersweet chocolate chips if you prefer less sweetness fresh raspberriesoreasy raspberry compote,if youre serving with the raspberry compote begin preparing it at this time usingthis recipe set aside crust optional place the chocolate cookies in ahighspeed blenderand pulse a few times until no large pieces remain divide the crushed cookie crumbs evenly between 6 oz jars or glasses adding 23 tablespoons of cookie crumbs per container rinse your blender if necessary cheesecake melt the chocolate chips in a heatproof bowl in the microwave in 15second increments you can also do this on the stovetop by adding the chocolate chips to a small glass or metal bowl and carefully placing the bowl on top of a saucepan with simmering water heat stirring occasionally with a spatula or spoon until melted 5 minutes to the rinsed highspeed blender add cashews coconut yogurt starting with the lesser amount maple syrup lemon juice and salt and blend on high for 12 minutes using the tamper to mix and scraping down the sides and underneath the blades as needed if the mixture is having trouble blending you can add the melted chocolate in now you just dont want to add it to very cold ingredients because it can cause the mixture to seize up otherwise blend until smooth before adding the melted chocolate if its still struggling to blend you can add more coconut yogurt maple syrup or lemon juice taste and adjust as needed adding more coconut yogurt for fluffiness maple syrup for sweetness or lemon juice for a tangy cheesecake flavor to assemble your cheesecake cups top the cookie crumb layer in each jarglass with 14 cup of the cheesecake mixture and 1 tbsp of the raspberry compote if using serve at room temperature or refrigerate for 30 minutes to 1 hour before serving our preference the filling will thicken as it cools when ready to serve top the cheesecake with fresh raspberries if not including the raspberry compote store covered cheesecakes in the refrigerator for up to 23 days or in the freezer for up to 1 month if not enjoying them within a few hours we suggest adding the berries right before serving if frozen let thaw before enjoying the texture will be slightly less creamy after freezing but still very delicious,dessert
No-Bake Vegan Chocolate Cheesecake Cups (5 Minutes!),1heaping cuporeostyle cookiesensure veganglutenfree as needed homemadeorstorebought include the cream filling 1 ½cupsraw cashews 341cupplain unsweetened coconut yogurtor storebought  we like culina cocojune and coyo 13cupmaple syrup 23tsplemon juicefreshly squeezed 18heaped tspsea salt 12cupdark chocolate chips meltedensure vegandairyfree as needed  we likeenjoy life or use bittersweet chocolate chips if you prefer less sweetness fresh raspberriesoreasy raspberry compote,if youre serving with the raspberry compote begin preparing it at this time usingthis recipe set aside crust optional place the chocolate cookies in ahighspeed blenderand pulse a few times until no large pieces remain divide the crushed cookie crumbs evenly between 6 oz jars or glasses adding 23 tablespoons of cookie crumbs per container rinse your blender if necessary cheesecake melt the chocolate chips in a heatproof bowl in the microwave in 15second increments you can also do this on the stovetop by adding the chocolate chips to a small glass or metal bowl and carefully placing the bowl on top of a saucepan with simmering water heat stirring occasionally with a spatula or spoon until melted 5 minutes to the rinsed highspeed blender add cashews coconut yogurt starting with the lesser amount maple syrup lemon juice and salt and blend on high for 12 minutes using the tamper to mix and scraping down the sides and underneath the blades as needed if the mixture is having trouble blending you can add the melted chocolate in now you just dont want to add it to very cold ingredients because it can cause the mixture to seize up otherwise blend until smooth before adding the melted chocolate if its still struggling to blend you can add more coconut yogurt maple syrup or lemon juice taste and adjust as needed adding more coconut yogurt for fluffiness maple syrup for sweetness or lemon juice for a tangy cheesecake flavor to assemble your cheesecake cups top the cookie crumb layer in each jarglass with 14 cup of the cheesecake mixture and 1 tbsp of the raspberry compote if using serve at room temperature or refrigerate for 30 minutes to 1 hour before serving our preference the filling will thicken as it cools when ready to serve top the cheesecake with fresh raspberries if not including the raspberry compote store covered cheesecakes in the refrigerator for up to 23 days or in the freezer for up to 1 month if not enjoying them within a few hours we suggest adding the berries right before serving if frozen let thaw before enjoying the texture will be slightly less creamy after freezing but still very delicious,dessert
Creamy Mocha Chia Pudding,34cupbrewed coffee 1cupdairyfree milkplain unsweetened  we used half almond milk  half canned light coconut milk  or use other milk of choice  a mix of a richer  a lighter milk is nice 35tbspmaple syrup 2tbspcocoa powder 34tspvanilla extract 1pinchsea salt 12cupchia seeds coconut whipped cream dusting of cocoa powderor grated dark chocolate dusting of cinnamon,if you dont already have brewed coffee prepare it at this time using your preferred method we likecold breworpourover set aside to cool slightly warm or room temperature are okay or you can make it ahead and use chilled to a mixing bowl or container with a lid add dairyfree milk brewed coffee the lesser amount of maple syrup cocoa powder vanilla extract and sea salt whisk vigorously side to side is best to combine and break up any clumps of cocoa powder if there are any stubborn clumps you can transfer to a blender to fully combine taste and adjust adding more maple syrup for sweetness then add the chia seeds and mix until well combined cover and refrigerate for 4560 minutes or overnight we recommend stirring again around the 15minute mark to break up any big clumps the chia pudding should be very thick and creamy if its not give it another stir andor add more chia seeds stir and refrigerate for another hour or so if you prefer a thinner pudding you can stir in more dairyfree milk once pudding has fully set divide between serving containers and serve with all optional coconut whipped cream and a dusting of cocoa powder and cinnamon leftover pudding will keep covered in the refrigerator for up to 45 days not freezer friendly,entrée
Creamy Mocha Chia Pudding,34cupbrewed coffee 1cupdairyfree milkplain unsweetened  we used half almond milk  half canned light coconut milk  or use other milk of choice  a mix of a richer  a lighter milk is nice 35tbspmaple syrup 2tbspcocoa powder 34tspvanilla extract 1pinchsea salt 12cupchia seeds coconut whipped cream dusting of cocoa powderor grated dark chocolate dusting of cinnamon,if you dont already have brewed coffee prepare it at this time using your preferred method we likecold breworpourover set aside to cool slightly warm or room temperature are okay or you can make it ahead and use chilled to a mixing bowl or container with a lid add dairyfree milk brewed coffee the lesser amount of maple syrup cocoa powder vanilla extract and sea salt whisk vigorously side to side is best to combine and break up any clumps of cocoa powder if there are any stubborn clumps you can transfer to a blender to fully combine taste and adjust adding more maple syrup for sweetness then add the chia seeds and mix until well combined cover and refrigerate for 4560 minutes or overnight we recommend stirring again around the 15minute mark to break up any big clumps the chia pudding should be very thick and creamy if its not give it another stir andor add more chia seeds stir and refrigerate for another hour or so if you prefer a thinner pudding you can stir in more dairyfree milk once pudding has fully set divide between serving containers and serve with all optional coconut whipped cream and a dusting of cocoa powder and cinnamon leftover pudding will keep covered in the refrigerator for up to 45 days not freezer friendly,entrée
Gluten-Free Lemon Poppy Seed Muffins (Vegan),23cupcane sugarensure organic for veganfriendly 13cupsoftened vegan butterwe usedmiyokos 3tbsplemon zest45 lemons yield 3 tbsp zest 14cupapplesauceunsweetened 14cuplemon juice 1tspvanilla extract 1cupalmond flourwe like wellbees 12cupdairyfree milkplain unsweetened  we used almond milk 1 ¼cupmb 11 gf blendor allpurpose flour if not gf  see notes for other options 1 ½tspbaking powder 14tspbaking soda 14tspsea salt 1 ½tbsppoppy seeds,preheat your oven to 350 degrees f 176 c and line a standard muffin tin with 12 muffin liners we likethese or lightly grease to a medium mixing bowl or the bowl of a stand mixer add the cane sugar softened vegan butter and lemon zest mix with an electric stand mixer orhandheld mixeruntil light and fluffy about 2 minutes next add applesauce lemon juice and vanilla extract and beat on medium until well combined and slightly fluffy the mixture may look curdled which is fine this will sort itself out in the next step now add almond flour and beat until smooth and well incorporated next add in the milk and mix on low until fully combined finally add the glutenfree flour blend baking powder baking soda sea salt and poppy seeds mix on medium until light and fluffy with the poppy seeds evenly distributed divide the batter evenly between the 12 muffin liners and bake for 3034 minutes until lightly golden on the edges when a toothpick is inserted into a muffin it should come out almost clean with just a crumb or two left behind for the best possible texture let the muffins cool completely before enjoying best when fresh but they can be stored at room temperature in an airtight container for up to 3 days or in the freezer for up to 1 month,entrée
Gluten-Free Lemon Poppy Seed Muffins (Vegan),23cupcane sugarensure organic for veganfriendly 13cupsoftened vegan butterwe usedmiyokos 3tbsplemon zest45 lemons yield 3 tbsp zest 14cupapplesauceunsweetened 14cuplemon juice 1tspvanilla extract 1cupalmond flourwe like wellbees 12cupdairyfree milkplain unsweetened  we used almond milk 1 ¼cupmb 11 gf blendor allpurpose flour if not gf  see notes for other options 1 ½tspbaking powder 14tspbaking soda 14tspsea salt 1 ½tbsppoppy seeds,preheat your oven to 350 degrees f 176 c and line a standard muffin tin with 12 muffin liners we likethese or lightly grease to a medium mixing bowl or the bowl of a stand mixer add the cane sugar softened vegan butter and lemon zest mix with an electric stand mixer orhandheld mixeruntil light and fluffy about 2 minutes next add applesauce lemon juice and vanilla extract and beat on medium until well combined and slightly fluffy the mixture may look curdled which is fine this will sort itself out in the next step now add almond flour and beat until smooth and well incorporated next add in the milk and mix on low until fully combined finally add the glutenfree flour blend baking powder baking soda sea salt and poppy seeds mix on medium until light and fluffy with the poppy seeds evenly distributed divide the batter evenly between the 12 muffin liners and bake for 3034 minutes until lightly golden on the edges when a toothpick is inserted into a muffin it should come out almost clean with just a crumb or two left behind for the best possible texture let the muffins cool completely before enjoying best when fresh but they can be stored at room temperature in an airtight container for up to 3 days or in the freezer for up to 1 month,entrée
Italian Lentil Soup (Zuppa di Lenticchie),3tbspolive oil 1smallyellow onion finely diced1 small onion yields 1 ½ cups or 180 g 1mediumcarrot finely diced1 carrot yields 12 cup or 90 g 2large stalkscelery finely diced2 stalks yield 12 cup or 70 g  or sub 14 tsp fennel seeds 4medium clovesgarlicpressedor finely minced 1234tspsea salt 14tspground black pepper 14tspred pepper flakes 1cupdry lentilsgreen or brown not red 45cupswateror subveggieorbone brothand omitreduce salt olive oiltraditionally drizzled on top fresh parsley vegan parmesan cheese vegan garlic breadordinner rollsglutenfreeas needed,heat oil in a large pot ordutch ovenover mediumlow heat once warm add the onions and toss to coat them in the oil cook for 35 minutes stirring occasionally until translucent add the carrots celery garlic salt black pepper and red pepper flakes cook stirring occasionally for about 10 minutes total until most of the oil is absorbed and things are just beginning to brown and caramelize add the dry lentils and toss well to coat them in oil and combine with the veggies then add the water starting with the lesser amount and mix well bring to a boil then reduce to a simmer cover and cook for 1520 minutes until the lentils are tender and the soup is thicker stir occasionally to ensure even cooking of the lentils and add more water as needed to keep the lentils covered and achieve a more brothy soup if desired serve warm garnished with a drizzle of olive oil freshly chopped parsley andor vegan parmesan cheese all optional delicious served with rolls or garlic bread leftovers keep well in the refrigerator for 34 days or in the freezer for 1 month or longer,entrée
Italian Lentil Soup (Zuppa di Lenticchie),3tbspolive oil 1smallyellow onion finely diced1 small onion yields 1 ½ cups or 180 g 1mediumcarrot finely diced1 carrot yields 12 cup or 90 g 2large stalkscelery finely diced2 stalks yield 12 cup or 70 g  or sub 14 tsp fennel seeds 4medium clovesgarlicpressedor finely minced 1234tspsea salt 14tspground black pepper 14tspred pepper flakes 1cupdry lentilsgreen or brown not red 45cupswateror subveggieorbone brothand omitreduce salt olive oiltraditionally drizzled on top fresh parsley vegan parmesan cheese vegan garlic breadordinner rollsglutenfreeas needed,heat oil in a large pot ordutch ovenover mediumlow heat once warm add the onions and toss to coat them in the oil cook for 35 minutes stirring occasionally until translucent add the carrots celery garlic salt black pepper and red pepper flakes cook stirring occasionally for about 10 minutes total until most of the oil is absorbed and things are just beginning to brown and caramelize add the dry lentils and toss well to coat them in oil and combine with the veggies then add the water starting with the lesser amount and mix well bring to a boil then reduce to a simmer cover and cook for 1520 minutes until the lentils are tender and the soup is thicker stir occasionally to ensure even cooking of the lentils and add more water as needed to keep the lentils covered and achieve a more brothy soup if desired serve warm garnished with a drizzle of olive oil freshly chopped parsley andor vegan parmesan cheese all optional delicious served with rolls or garlic bread leftovers keep well in the refrigerator for 34 days or in the freezer for 1 month or longer,entrée
