title,url,ingredients,instructions
Unknown,https://minimalistbaker.com/recipe-index/,[],[]
Unknown,https://minimalistbaker.com/recipe-index/?fwp_special-diet=vegan,[],[]
Unknown,https://minimalistbaker.com/recipe-index/?fwp_special-diet=gluten-free,[],[]
Unknown,https://minimalistbaker.com/,[],[]
Unknown,https://minimalistbaker.com/about/,[],[]
Unknown,https://minimalistbaker.com/shop/,[],[]
Unknown,https://minimalistbaker.com/resources/,[],[]
Unknown,https://minimalistbaker.com/recipe-index/,[],[]
Unknown,https://minimalistbaker.com/recipe-index/?fwp_special-diet=vegan,[],[]
Unknown,https://minimalistbaker.com/recipe-index/?fwp_special-diet=gluten-free,[],[]
Jerk Tofu & Roasted Plantain Bowls,https://minimalistbaker.com/jerk-tofu-roasted-plantain-bowls/,"['1/4cupDIY Jamaican Jerk Seasoning(or similar store-bought spice rub)', '2Tbspolive oil', '2Tbsptamari (ensure gluten-free as needed)', '1Tbspmaple syrup', '1(14-16 oz.) packagesuper firm tofu*', '2ripeplantains(yellow with brown spots) // 2 plantains yield ~2 cups or 370 g sliced)', '1/2cupfreshly chopped parsley(or sub cilantro)', '1/4cuptahini', '3Tbsplime juice(2 limes yield ~3 Tbsp or 45 ml)', '2Tbspolive oil(optional// for extra creaminess/balance)', '1/2-1tsptamari', '1tspmaple syrup', '1/4-1/3cupwater(to blend)', 'Mango Cucumber Salad(or sub store-bought mango salsa)', 'Avocado orguacamole(optional)']","['Before preheating, arrange two oven racks so that two baking sheets will fit in your oven. Preheat the oven to 425 F (218 C) and line two standard-size baking sheets with parchment paper.', 'In a small mixing bowl, combine the jerk seasoning with the olive oil, tamari, and maple syrup and whisk to combine. This is your jerk sauce.', 'TOFU: Crumble the tofu into pieces ~1/2-inch in size and arrange them on one of the parchment-lined baking sheets. Add about half of the jerk sauce and toss to evenly coat the tofu. Once the oven is preheated, bake for 10 minutes while you prepare the plantains.', 'PLANTAINS: To cut the plantains, trim and discard the ends. Then use the tip of your knife to make a shallow cut lengthwise through the peel, doing your best not to pierce the flesh of the plantain. Remove the peel and slice the plantain on an angle into 1/4-inch slices. Add to the other baking sheet and add the remaining jerk sauce. Toss to evenly coat, and spread out the plantains on the baking sheet.', 'Remove the tofu from the oven and toss. Return the tofu to the oven and add the plantains to the other rack. Bake for 16-20 minutes, tossing the plantains halfway through, until the tofu is darkened and crispy and the plantains are tender and caramelized.', 'Meanwhile, prepare themango cucumber saladand make the parsley tahini sauce (see next step).', 'PARSLEY TAHINI SAUCE: To a blender, add all the sauce ingredients (starting with the lesser amount of tamari) and blend until smooth and well combined. Taste and adjust as needed, adding more water if necessary for thinning/blending, more lime juice for zing, more tamari for saltiness, or more maple syrup for sweetness.', 'To serve, divide tofu and plantains between serving bowls and add the mango cucumber salad along with avocado or guacamole (optional). Drizzle with parsley tahini sauce and enjoy!', 'Best when fresh, but leftovers keep in the refrigerator (in separate containers) for 2-3 days.']"
Jerk Tofu & Roasted Plantain Bowls,https://minimalistbaker.com/jerk-tofu-roasted-plantain-bowls/,"['1/4cupDIY Jamaican Jerk Seasoning(or similar store-bought spice rub)', '2Tbspolive oil', '2Tbsptamari (ensure gluten-free as needed)', '1Tbspmaple syrup', '1(14-16 oz.) packagesuper firm tofu*', '2ripeplantains(yellow with brown spots) // 2 plantains yield ~2 cups or 370 g sliced)', '1/2cupfreshly chopped parsley(or sub cilantro)', '1/4cuptahini', '3Tbsplime juice(2 limes yield ~3 Tbsp or 45 ml)', '2Tbspolive oil(optional// for extra creaminess/balance)', '1/2-1tsptamari', '1tspmaple syrup', '1/4-1/3cupwater(to blend)', 'Mango Cucumber Salad(or sub store-bought mango salsa)', 'Avocado orguacamole(optional)']","['Before preheating, arrange two oven racks so that two baking sheets will fit in your oven. Preheat the oven to 425 F (218 C) and line two standard-size baking sheets with parchment paper.', 'In a small mixing bowl, combine the jerk seasoning with the olive oil, tamari, and maple syrup and whisk to combine. This is your jerk sauce.', 'TOFU: Crumble the tofu into pieces ~1/2-inch in size and arrange them on one of the parchment-lined baking sheets. Add about half of the jerk sauce and toss to evenly coat the tofu. Once the oven is preheated, bake for 10 minutes while you prepare the plantains.', 'PLANTAINS: To cut the plantains, trim and discard the ends. Then use the tip of your knife to make a shallow cut lengthwise through the peel, doing your best not to pierce the flesh of the plantain. Remove the peel and slice the plantain on an angle into 1/4-inch slices. Add to the other baking sheet and add the remaining jerk sauce. Toss to evenly coat, and spread out the plantains on the baking sheet.', 'Remove the tofu from the oven and toss. Return the tofu to the oven and add the plantains to the other rack. Bake for 16-20 minutes, tossing the plantains halfway through, until the tofu is darkened and crispy and the plantains are tender and caramelized.', 'Meanwhile, prepare themango cucumber saladand make the parsley tahini sauce (see next step).', 'PARSLEY TAHINI SAUCE: To a blender, add all the sauce ingredients (starting with the lesser amount of tamari) and blend until smooth and well combined. Taste and adjust as needed, adding more water if necessary for thinning/blending, more lime juice for zing, more tamari for saltiness, or more maple syrup for sweetness.', 'To serve, divide tofu and plantains between serving bowls and add the mango cucumber salad along with avocado or guacamole (optional). Drizzle with parsley tahini sauce and enjoy!', 'Best when fresh, but leftovers keep in the refrigerator (in separate containers) for 2-3 days.']"
Unknown,https://minimalistbaker.com/recipe-index/?fwp_special-diet=gluten-free,[],[]
Unknown,https://minimalistbaker.com/recipe-index/?fwp_special-diet=vegan,[],[]
Unknown,https://minimalistbaker.com/recipe-index/?fwp_special-diet=vegetarian,[],[]
Unknown,https://minimalistbaker.com/recipe-index/?fwp_special-diet=dairy-free,[],[]
